KEY;FR;EN;ES;PT;IT;
settings.online.status.connected;Connecté;Connected;Conectado;Conectado;Connesso;
settings.online.status.disconnected;Non connecté;Disconnected;Desconectado;Desconectado;Disconnesso;
settings.online.status.disabled;Désactivé;Disabled;Desactivado;Desativado;Disattivato;
settings.languages.current_label;Langue actuelle;Current language;Idioma actual;Idioma atual;Lingua attuale;
settings.languages.changed_toast;Langue appliquée;Language applied;Idioma aplicado;Idioma aplicado;Lingua applicata;
settings.languages.lang.fr;Français;French;Francés;Francês;Francese;
settings.languages.lang.en;Anglais;English;Inglés;Inglês;Inglese;
settings.languages.lang.es;Espagnol;Spanish;Español;Espanhol;Spagnolo;
settings.languages.lang.pt;Portugais;Portuguese;Portugués;Português;Portoghese;
settings.languages.lang.it;Italien;Italian;Italiano;Italiano;Italiano;
settings.audio.music_label;Musique;Music;Música;Música;Musica;
settings.audio.music_hint;N'affecte pas les effets sonores.;Does not affect sound effects.;No afecta a los efectos de sonido.;Não afeta os efeitos sonoros.;Non influisce sugli effetti sonori.;
settings.menu.display;Affichage;Display;Pantalla;Tela;Schermo;
settings.menu.gameplay;Gameplay;Gameplay;Jugabilidad;Jogabilidade;Gioco;
settings.display.fullscreen_label;Plein écran;Fullscreen;Pantalla completa;Ecrã inteiro;Schermo intero;
settings.display.fullscreen.on_button;Plein écran : ON;Fullscreen: ON;Pantalla completa: ON;Ecrã inteiro: ON;Schermo intero: ON;
settings.display.fullscreen.off_button;Plein écran : OFF;Fullscreen: OFF;Pantalla completa: OFF;Ecrã inteiro: OFF;Schermo intero: OFF;
settings.display.fps_label;Limiter FPS;FPS limit;Límite FPS;Limite FPS;Limite FPS;
settings.display.fps.unlimited;Illimité;Unlimited;Ilimitado;Ilimitado;Illimitato;
settings.gameplay.auto_resolve_label;Matchs en retard;Late matches;Partidos atrasados;Jogos atrasados;Partite in ritardo;
settings.gameplay.auto_resolve.on_button;Auto-simuler : ON;Auto-simulate: ON;Auto-simular: ON;Auto-simular: ON;Auto-simulare: ON;
settings.gameplay.auto_resolve.off_button;Auto-simuler : OFF;Auto-simulate: OFF;Auto-simular: OFF;Auto-simular: OFF;Auto-simulare: OFF;
settings.gameplay.ignore_window_label;Fenêtre temps réel;Real-time window;Ventana en tiempo real;Janela em tempo real;Finestra in tempo reale;
settings.gameplay.ignore_window.on_button;Ignorer : ON (test);Ignore: ON (test);Ignorar: ON (test);Ignorar: ON (teste);Ignora: ON (test);
settings.gameplay.ignore_window.off_button;Ignorer : OFF;Ignore: OFF;Ignorar: OFF;Ignorar: OFF;Ignora: OFF;
settings.tab.save;Sauvegarde;Save;Guardado;Salvar;Salvataggio;
settings.save.save_now;Sauvegarder maintenant;Save now;Guardar ahora;Guardar agora;Salva ora;
settings.save.saved_toast;Sauvegarde effectuée;Save completed;Guardado realizado;Gravação concluída;Salvataggio completato;
settings.save.save_failed;Sauvegarde impossible;Save failed;Error al guardar;Falha ao guardar;Salvataggio non riuscito;
settings.save.autosave_label;Sauvegarde auto;Auto-save;Guardado automático;Salvamento automático;Salvataggio automatico;
settings.save.autosave_on;Auto ON;Auto ON;Auto ON;Auto ON;Auto ON;
settings.save.autosave_off;Auto OFF;Auto OFF;Auto OFF;Auto OFF;Auto OFF;
settings.save.autosave_toast;Option enregistrée;Option saved;Opción guardada;Opção guardada;Opzione salvata;
settings.save.pin_label;PIN de sauvegarde;Save PIN;PIN de guardado;PIN de salvamento;PIN di salvataggio;
settings.save.pin_status_set;Actif;Enabled;Activo;Ativo;Attivo;
settings.save.pin_status_none;Aucun;None;Ninguno;Nenhum;Nessuno;
settings.save.pin_set;Définir PIN;Set PIN;Definir PIN;Definir PIN;Imposta PIN;
settings.save.pin_change;Changer PIN;Change PIN;Cambiar PIN;Alterar PIN;Cambia PIN;
settings.save.pin_remove;Supprimer PIN;Remove PIN;Eliminar PIN;Remover PIN;Rimuovi PIN;
settings.save.pin_verify_title;Entrer le PIN actuel;Enter current PIN;Introduce el PIN actual;Insira o PIN atual;Inserisci il PIN attuale;
settings.save.pin_new_title;Nouveau PIN (4 chiffres);New PIN (4 digits);Nuevo PIN (4 dígitos);Novo PIN (4 dígitos);Nuovo PIN (4 cifre);
settings.save.pin_wrong;PIN incorrect;Wrong PIN;PIN incorrecto;PIN incorreto;PIN errato;
settings.save.pin_invalid;PIN invalide (4 chiffres);Invalid PIN (4 digits);PIN inválido (4 dígitos);PIN inválido (4 dígitos);PIN non valido (4 cifre);
settings.save.pin_set_toast;PIN enregistré;PIN saved;PIN guardado;PIN guardado;PIN salvato;
settings.save.pin_removed_toast;PIN supprimé;PIN removed;PIN eliminado;PIN removido;PIN rimosso;
settings.save.pin_write_failed;Écriture impossible;Write failed;Error al escribir;Falha ao escrever;Scrittura non riuscita;
popup.button.cancel;Annuler;Cancel;Cancelar;Cancelar;Annulla;
popup.button.ok;Valider;Confirm;Confirmar;Confirmar;Conferma;
about.title;Basket Manager;Basket Manager;Basket Manager;Basket Manager;Basket Manager;
about.tagline;Construisez la stratégie du club, gérez votre effectif et gagnez un maximum de titres.;Build your club’s strategy, manage your roster, and win as many titles as possible.;Construye la estrategia del club, gestiona tu plantilla y gana el mayor número de títulos posible.;Construa a estratégia do clube, gere o seu plantel e ganhe o máximo de títulos possível.;Costruisci la strategia del club, gestisci la rosa e conquista il maggior numero possibile di titoli.;
about.version_label;Version;Version;Versión;Versão;Versione;
about.early_access;Early Access;Early Access;Acceso anticipado;Acesso antecipado;Accesso anticipato;
about.build_label;Build;Build;Build;Build;Build;
about.dev_label;Développement;Development;Desarrollo;Desenvolvimento;Sviluppo;
about.support_label;Support / Contact;Support / Contact;Soporte / Contacto;Suporte / Contacto;Supporto / Contatto;
about.controls_label;Contrôles;Controls;Controles;Controlos;Comandi;
about.controls_text;Souris + clavier (selon les écrans).;Mouse + keyboard (depending on the screen).;Ratón + teclado (según la pantalla).;Rato + teclado (consoante o ecrã).;Mouse + tastiera (a seconda della schermata).;
about.saves_label;Sauvegardes;Saves;Guardados;Gravações;Salvataggi;
about.saves_text;enregistrées localement sur votre ordinateur.;saved locally on your computer.;guardadas localmente en tu ordenador.;guardadas localmente no seu computador.;salvate localmente sul tuo computer.;
about.privacy_title;Données & confidentialité;Data & privacy;Datos y privacidad;Dados e privacidade;Dati e privacy;
about.privacy_p1;Le jeu ne collecte et n’envoie aucune donnée personnelle.;The game does not collect or send any personal data.;El juego no recopila ni envía ningún dato personal.;O jogo não recolhe nem envia quaisquer dados pessoais.;Il gioco non raccoglie né invia alcun dato personale.;
about.privacy_p2;Si certaines fonctionnalités en ligne sont activées (ex. classement), seules des informations minimales et non sensibles peuvent être transmises (par exemple un pseudonyme et un score), sans suivi publicitaire ni revente de données.;If online features are enabled (e.g., leaderboards), only minimal, non-sensitive information may be sent (for example, a nickname and a score), with no advertising tracking and no data resale.;Si se activan funciones online (p. ej., clasificaciones), solo se pueden enviar datos mínimos y no sensibles (por ejemplo, un apodo y una puntuación), sin seguimiento publicitario ni reventa de datos.;Se funcionalidades online forem ativadas (ex.: classificação), apenas informações mínimas e não sensíveis podem ser transmitidas (por exemplo, um pseudónimo e uma pontuação), sem rastreio publicitário nem revenda de dados.;Se vengono attivate funzionalità online (es. classifiche), possono essere trasmesse solo informazioni minime e non sensibili (ad esempio un nickname e un punteggio), senza tracciamento pubblicitario né rivendita dei dati.;
about.credits_title;Crédits & licences;Credits & licenses;Créditos y licencias;Créditos e licenças;Crediti e licenze;
about.credits_p1;Certaines images, polices et sons peuvent être sous licence. Détails disponibles dans le dossier du jeu (fichiers CREDITS / LICENSES).;Some images, fonts, and sounds may be licensed. Details are available in the game folder (CREDITS / LICENSES files).;Algunas imágenes, fuentes y sonidos pueden tener licencia. Detalles disponibles en la carpeta del juego (archivos CREDITS / LICENSES).;Algumas imagens, fontes e sons podem estar licenciados. Detalhes disponíveis na pasta do jogo (ficheiros CREDITS / LICENSES).;Alcune immagini, font e suoni potrebbero essere soggetti a licenza. Dettagli disponibili nella cartella del gioco (file CREDITS / LICENSES).;
about.copyright;© 2025 Isidro Bosch — Tous droits réservés.;© 2025 Isidro Bosch — All rights reserved.;© 2025 Isidro Bosch — Todos los derechos reservados.;© 2025 Isidro Bosch — Todos os direitos reservados.;© 2025 Isidro Bosch — Tutti i diritti riservati.;
anti_cheat.online_disabled_title;Online désactivé;Online disabled;Online desactivado;Online desativado;Online disattivato;
anti_cheat.online_disabled_body;Sauvegarde modifiée détectée : les fonctions en ligne (classement, upload) sont désactivées sur ce profil.;Tampered save detected: online features (leaderboard, upload) are disabled for this profile.;Se detectó una partida modificada: las funciones online (clasificación, subida) están desactivadas para este perfil.;Save modificada detectada: as funções online (classificação, upload) estão desativadas neste perfil.;Salvataggio manomesso rilevato: le funzioni online (classifica, upload) sono disattivate per questo profilo.;
anti_cheat.online_disabled_hint;Tu peux continuer à jouer hors-ligne normalement.;You can keep playing offline normally.;Puedes seguir jugando sin conexión con normalidad.;Podes continuar a jogar offline normalmente.;Puoi continuare a giocare offline normalmente.;
anti_cheat.legacy_notice;Ancienne sauvegarde : la protection s’activera après la prochaine sauvegarde.;Legacy save: protection will activate after the next save.;Partida antigua: la protección se activará tras el próximo guardado.;Save antiga: a proteção será ativada após o próximo salvamento.;Salvataggio legacy: la protezione si attiverà al prossimo salvataggio.;
anti_cheat.ok_notice;Protection active;Protection active;Protección activa;Proteção ativa;Protezione attiva;
